                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66946,                 2.5943,                 1.1958,                0.00333,                      1,                0.82218,                0.68338,                0.28967,                 2.8779,                0.96681,                0.00018,                0.00018,                0.00018
                      2,                0.47351,                 1.2359,                 1.0032,                      1,                 0.8108,                  0.971,                0.87165,                0.50164,                 2.5753,                  1.113,             0.00037624,             0.00037624,             0.00037624
                      3,                0.48193,                0.84249,                0.99735,                0.82898,                      1,                0.95275,                0.81685,                0.49427,                 2.2532,                 1.0798,             0.00056852,             0.00056852,             0.00056852
                      4,                0.49963,                0.81397,                0.99456,                0.92928,                      1,                0.97875,                0.86538,                0.53578,                   2.01,                 1.1545,             0.00075683,             0.00075683,             0.00075683
                      5,                0.53792,                0.88922,                 1.0294,                0.91862,                0.93333,                 0.9597,                0.83379,                0.51746,                 1.7002,                 1.1365,             0.00094119,             0.00094119,             0.00094119
                      6,                 0.5353,                0.81346,                  1.003,                 0.8311,                0.98481,                 0.9675,                0.82953,                0.58314,                 1.7054,                 1.2141,              0.0011216,              0.0011216,              0.0011216
                      7,                0.51543,                 0.7525,                 1.0101,                0.82595,                      1,                0.97333,                0.81092,                 0.7688,                 1.5884,                 1.3757,               0.001298,               0.001298,               0.001298
                      8,                0.48803,                0.66292,                0.98918,                 0.9216,                0.93333,                0.97067,                0.73652,                0.92088,                 1.7212,                 1.6458,              0.0014705,              0.0014705,              0.0014705
                      9,                0.52018,                  0.714,                 1.0043,                0.97665,                0.86667,                0.95571,                0.75115,                0.71507,                 1.7173,                 1.3344,               0.001639,               0.001639,               0.001639
                     10,                0.53106,                0.72844,                 1.0092,                0.64718,                    0.6,                0.68459,                0.44576,                0.96569,                 2.1505,                 1.5776,              0.0018036,              0.0018036,              0.0018036
                     11,                0.49844,                0.63125,                0.99314,                0.34999,                0.61055,                0.47585,                0.25142,                 1.0308,                 2.2134,                 1.7313,               0.001802,               0.001802,               0.001802
                     12,                0.52452,                0.62072,                 1.0077,                0.91201,                0.13333,                0.25589,                0.18133,                 1.1176,                 2.2385,                 1.5295,               0.001802,               0.001802,               0.001802
                     13,                0.53565,                0.60014,                0.99611,                0.43148,                0.53333,                0.51267,                0.43068,                0.61804,                 1.6225,                  1.199,              0.0017822,              0.0017822,              0.0017822
                     14,                0.50861,                0.58554,                 0.9738,                0.94792,                0.93333,                0.99125,                0.84896,                0.53241,                 1.0872,                 1.0643,              0.0017624,              0.0017624,              0.0017624
                     15,                0.50232,                 0.5677,                0.99621,                0.93591,                      1,                0.99125,                0.92869,                0.48936,                0.77775,                 1.0336,              0.0017426,              0.0017426,              0.0017426
                     16,                0.49036,                0.52561,                0.97237,                0.99482,                      1,                  0.995,                0.89418,                 0.4334,                0.55488,                 0.9944,              0.0017228,              0.0017228,              0.0017228
                     17,                0.49455,                0.50861,                0.98512,                      1,                0.99174,                  0.995,                0.94157,                0.40852,                0.65258,                0.97302,               0.001703,               0.001703,               0.001703
                     18,                0.46504,                0.49414,                0.96383,                0.98542,                      1,                  0.995,                0.90224,                0.43437,                0.63905,                0.97663,              0.0016832,              0.0016832,              0.0016832
                     19,                0.45413,                0.47811,                 0.9725,                0.96454,                      1,                  0.995,                0.84534,                 0.5342,                0.72706,                 1.0934,              0.0016634,              0.0016634,              0.0016634
                     20,                0.47636,                0.49138,                0.97073,                0.99465,                      1,                  0.995,                0.88029,                0.43894,                0.56468,                0.97317,              0.0016436,              0.0016436,              0.0016436
                     21,                0.47641,                0.46545,                0.98496,                0.92704,                      1,                0.98688,                0.83436,                0.60809,                0.73351,                 1.2141,              0.0016238,              0.0016238,              0.0016238
                     22,                0.44913,                0.44966,                0.96541,                0.99053,                      1,                  0.995,                0.88215,                0.51666,                0.74036,                 1.1391,               0.001604,               0.001604,               0.001604
                     23,                0.46235,                0.45486,                0.97277,                0.82356,                      1,                0.96833,                0.82035,                0.48084,                0.94989,                 1.0394,              0.0015842,              0.0015842,              0.0015842
                     24,                0.44712,                0.44177,                0.96505,                0.93583,                      1,                  0.995,                0.90299,                0.45951,                0.99837,                 1.0184,              0.0015644,              0.0015644,              0.0015644
                     25,                0.47475,                0.45962,                0.97763,                0.98766,                      1,                  0.995,                0.91958,                 0.4125,                0.61504,                0.97592,              0.0015446,              0.0015446,              0.0015446
                     26,                0.44357,                0.43134,                 0.9548,                0.99111,                      1,                  0.995,                0.93845,                 0.3929,                0.54745,                  0.925,              0.0015248,              0.0015248,              0.0015248
                     27,                0.47116,                 0.4387,                0.94262,                 0.9243,                      1,                0.99125,                0.91195,                0.39668,                0.76141,                0.93477,               0.001505,               0.001505,               0.001505
                     28,                0.43213,                0.42869,                0.95694,                 0.9165,                      1,                   0.97,                0.94241,                0.37023,                 0.6599,                0.93432,              0.0014852,              0.0014852,              0.0014852
                     29,                0.42931,                0.39481,                0.94404,                0.93005,                      1,                0.96625,                 0.9026,                 0.3987,                0.60896,                0.96421,              0.0014654,              0.0014654,              0.0014654
                     30,                0.40184,                0.38228,                0.93882,                0.93464,                      1,                  0.995,                0.86543,                0.43495,                0.58268,                 1.0305,              0.0014456,              0.0014456,              0.0014456
                     31,                 0.4055,                0.37199,                0.94703,                 0.9697,                      1,                  0.995,                0.91276,                 0.4092,                0.53847,                0.98234,              0.0014258,              0.0014258,              0.0014258
                     32,                0.41813,                0.37738,                0.95113,                0.99457,                      1,                  0.995,                0.92585,                0.35117,                0.51129,                0.90904,               0.001406,               0.001406,               0.001406
                     33,                0.39825,                0.37288,                0.93307,                 0.9878,                      1,                  0.995,                0.92246,                0.36794,                0.49664,                0.92742,              0.0013862,              0.0013862,              0.0013862
                     34,                0.40745,                 0.3638,                0.93758,                0.99562,                      1,                  0.995,                0.95441,                0.34211,                0.47183,                0.88775,              0.0013664,              0.0013664,              0.0013664
                     35,                0.42417,                0.36489,                0.94146,                0.99539,                      1,                  0.995,                0.90844,                0.42617,                0.48543,                  1.005,              0.0013466,              0.0013466,              0.0013466
                     36,                0.41266,                0.37239,                0.92796,                0.99443,                      1,                  0.995,                0.93429,                 0.3098,                0.41328,                0.89776,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.4245,                 0.3947,                0.96271,                0.93469,                      1,                  0.995,                0.95838,                0.33423,                 0.4262,                0.90713,               0.001307,               0.001307,               0.001307
                     38,                0.38849,                0.33414,                 0.9211,                0.93593,                0.97482,                 0.9825,                0.89486,                0.39386,                0.52514,                0.95688,              0.0012872,              0.0012872,              0.0012872
                     39,                0.44189,                0.37944,                0.97819,                0.96396,                      1,                  0.995,                0.95837,                 0.3222,                0.37431,                0.89669,              0.0012674,              0.0012674,              0.0012674
                     40,                0.39427,                0.34721,                0.93973,                0.98063,                      1,                  0.995,                0.90116,                0.40385,                0.43109,                0.96695,              0.0012476,              0.0012476,              0.0012476
                     41,                0.41622,                0.34693,                0.94282,                0.98021,                      1,                  0.995,                0.88174,                 0.4025,                0.42311,                0.95527,              0.0012278,              0.0012278,              0.0012278
                     42,                0.41225,                 0.3405,                0.94623,                 0.9857,                      1,                  0.995,                0.95391,                 0.3332,                0.35356,                0.92201,               0.001208,               0.001208,               0.001208
                     43,                0.39665,                0.33219,                0.93453,                0.97777,                      1,                  0.995,                0.92278,                0.34894,                0.35052,                0.93765,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.3793,                 0.3298,                0.93088,                0.96666,                      1,                  0.995,                0.94745,                0.36431,                 0.3727,                0.95631,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.3635,                 0.3129,                0.91729,                0.96474,                      1,                  0.995,                0.94846,                0.33788,                0.34207,                0.92805,              0.0011486,              0.0011486,              0.0011486
                     46,                0.38523,                0.32338,                0.92254,                0.98205,                      1,                  0.995,                0.96189,                 0.2958,                0.30423,                0.90178,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.3922,                0.32128,                0.93405,                0.99162,                      1,                  0.995,                0.92663,                 0.3341,                0.32683,                0.91668,               0.001109,               0.001109,               0.001109
                     48,                0.36454,                0.31305,                0.93148,                0.96938,                      1,                  0.995,                0.92595,                0.31109,                0.39069,                0.89614,              0.0010892,              0.0010892,              0.0010892
                     49,                0.40009,                0.32543,                0.93697,                0.96655,                      1,                  0.995,                0.94117,                0.29173,                0.33018,                 0.8957,              0.0010694,              0.0010694,              0.0010694
                     50,                0.39255,                0.32538,                0.92516,                0.94799,                      1,                  0.995,                0.93183,                0.34136,                0.35423,                0.93122,              0.0010496,              0.0010496,              0.0010496
                     51,                0.38777,                0.30896,                 0.9297,                0.98949,                      1,                  0.995,                0.91988,                0.32492,                0.32568,                0.92892,              0.0010298,              0.0010298,              0.0010298
                     52,                0.40126,                0.32569,                0.94271,                0.99543,                      1,                  0.995,                 0.9651,                0.28948,                0.34863,                0.89164,                0.00101,                0.00101,                0.00101
                     53,                0.38611,                0.31477,                0.94933,                0.99594,                      1,                  0.995,                0.93997,                0.31346,                0.29478,                0.90182,              0.0009902,              0.0009902,              0.0009902
                     54,                0.36209,                0.30163,                0.91631,                0.99014,                      1,                  0.995,                0.95599,                0.27839,                0.31949,                0.88131,              0.0009704,              0.0009704,              0.0009704
                     55,                0.36608,                0.29583,                 0.9338,                0.98286,                      1,                  0.995,                0.95633,                0.27922,                0.36561,                 0.8867,              0.0009506,              0.0009506,              0.0009506
                     56,                0.37697,                0.29834,                 0.9264,                0.92362,                      1,                  0.995,                0.97242,                 0.2574,                0.45616,                0.85999,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.3409,                  0.287,                0.91702,                0.87796,                      1,                  0.995,                 0.9677,                0.28575,                0.55385,                0.88216,               0.000911,               0.000911,               0.000911
                     58,                0.34039,                0.27044,                0.91743,                0.89242,                      1,                  0.995,                0.95209,                0.30933,                0.55948,                0.90185,              0.0008912,              0.0008912,              0.0008912
                     59,                0.33748,                0.26567,                0.91877,                0.95682,                      1,                  0.995,                0.95495,                0.27575,                0.47584,                0.88574,              0.0008714,              0.0008714,              0.0008714
                     60,                0.35999,                0.28667,                0.90848,                0.98838,                      1,                  0.995,                0.94813,                0.29541,                0.35169,                0.87471,              0.0008516,              0.0008516,              0.0008516
                     61,                0.35761,                0.28797,                0.92278,                0.98672,                      1,                  0.995,                  0.948,                0.27975,                0.29264,                0.86467,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.3545,                0.28608,                0.91192,                0.98842,                      1,                  0.995,                0.96651,                 0.2668,                0.26295,                0.86016,               0.000812,               0.000812,               0.000812
                     63,                0.31705,                0.24803,                0.90281,                0.98887,                      1,                  0.995,                0.96931,                0.27531,                0.26149,                0.86307,              0.0007922,              0.0007922,              0.0007922
                     64,                0.36579,                0.28602,                0.91532,                0.97897,                      1,                  0.995,                0.97867,                0.31308,                0.28045,                0.89071,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.3631,                0.28647,                0.91569,                0.98536,                      1,                  0.995,                0.97048,                0.30278,                0.25227,                 0.8902,              0.0007526,              0.0007526,              0.0007526
                     66,                0.33173,                0.26921,                0.90123,                0.99529,                      1,                  0.995,                0.97045,                0.29549,                0.25204,                0.88698,              0.0007328,              0.0007328,              0.0007328
                     67,                0.34647,                0.27023,                 0.9156,                0.99383,                      1,                  0.995,                0.97328,                0.25765,                0.23071,                0.87712,               0.000713,               0.000713,               0.000713
                     68,                0.35644,                0.26459,                0.91374,                0.98512,                      1,                  0.995,                0.97189,                0.26315,                0.24201,                0.87545,              0.0006932,              0.0006932,              0.0006932
                     69,                0.34018,                0.26729,                0.90992,                0.98357,                      1,                  0.995,                0.97449,                0.29294,                0.27652,                0.88331,              0.0006734,              0.0006734,              0.0006734
                     70,                0.34453,                0.26868,                0.91515,                0.97691,                      1,                  0.995,                0.97188,                0.29372,                0.28932,                0.89378,              0.0006536,              0.0006536,              0.0006536
                     71,                0.36137,                0.28068,                0.91362,                0.98982,                      1,                  0.995,                0.97045,                0.26857,                 0.2417,                0.87683,              0.0006338,              0.0006338,              0.0006338
                     72,                0.34286,                0.26006,                0.90326,                0.99578,                      1,                  0.995,                0.97043,                0.22949,                0.21661,                0.84785,               0.000614,               0.000614,               0.000614
                     73,                0.33967,                0.26692,                0.90854,                0.99519,                      1,                  0.995,                0.95981,                0.22054,                0.23125,                0.84902,              0.0005942,              0.0005942,              0.0005942
                     74,                0.34977,                0.26474,                0.91969,                0.99487,                      1,                  0.995,                0.95853,                0.23948,                0.22303,                 0.8507,              0.0005744,              0.0005744,              0.0005744
                     75,                0.33729,                0.25213,                0.92234,                0.99497,                      1,                  0.995,                0.96133,                0.24307,                0.21386,                0.84774,              0.0005546,              0.0005546,              0.0005546
                     76,                0.32492,                0.24211,                0.93275,                 0.9954,                      1,                  0.995,                0.96408,                0.21824,                0.19025,                0.84195,              0.0005348,              0.0005348,              0.0005348
                     77,                0.33774,                 0.2577,                0.90663,                0.99578,                      1,                  0.995,                0.97066,                0.21752,                0.18293,                0.83548,               0.000515,               0.000515,               0.000515
                     78,                0.30277,                0.22985,                0.90258,                0.99595,                      1,                  0.995,                0.97171,                0.25067,                0.21178,                0.83789,              0.0004952,              0.0004952,              0.0004952
                     79,                0.32223,                0.24391,                0.90605,                0.99603,                      1,                  0.995,                0.96498,                0.27127,                0.21956,                0.85298,              0.0004754,              0.0004754,              0.0004754
                     80,                0.32803,                0.24358,                0.91564,                0.99645,                      1,                  0.995,                0.96273,                0.24478,                 0.1929,                0.85052,              0.0004556,              0.0004556,              0.0004556
                     81,                0.32802,                0.25033,                0.89496,                0.99651,                      1,                  0.995,                0.96409,                0.23897,                0.19136,                0.84648,              0.0004358,              0.0004358,              0.0004358
                     82,                0.31174,                 0.2419,                0.89237,                0.99655,                      1,                  0.995,                 0.9548,                0.24058,                0.19907,                0.85615,               0.000416,               0.000416,               0.000416
                     83,                0.30013,                 0.2275,                0.90781,                  0.996,                      1,                  0.995,                0.95604,                0.23732,                 0.1874,                0.86444,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.3108,                0.23625,                0.90792,                0.99524,                      1,                  0.995,                0.96409,                0.25453,                0.20338,                  0.875,              0.0003764,              0.0003764,              0.0003764
                     85,                0.28892,                0.21941,                 0.8894,                0.99535,                      1,                  0.995,                0.95694,                0.26191,                0.20169,                 0.8737,              0.0003566,              0.0003566,              0.0003566
                     86,                0.30842,                0.22535,                0.89406,                0.99519,                      1,                  0.995,                0.96398,                0.23439,                0.19414,                0.86331,              0.0003368,              0.0003368,              0.0003368
                     87,                0.30668,                0.23527,                0.90973,                0.99502,                      1,                  0.995,                0.96535,                0.22463,                0.18643,                0.85812,               0.000317,               0.000317,               0.000317
                     88,                0.30444,                0.22537,                0.90866,                0.99608,                      1,                  0.995,                0.96654,                 0.2239,                 0.1915,                0.83829,              0.0002972,              0.0002972,              0.0002972
                     89,                0.29916,                0.22369,                0.89793,                0.99617,                      1,                  0.995,                0.96536,                0.23078,                0.18997,                0.83129,              0.0002774,              0.0002774,              0.0002774
                     90,                0.28298,                0.22279,                0.90011,                0.99608,                      1,                  0.995,                0.97965,                0.22129,                0.19471,                0.83281,              0.0002576,              0.0002576,              0.0002576
                     91,                0.23023,                0.29199,                0.86306,                0.99603,                      1,                  0.995,                0.96789,                0.20943,                 0.1963,                0.83911,              0.0002378,              0.0002378,              0.0002378
                     92,                0.22499,                 0.2368,                0.86587,                0.99462,                      1,                  0.995,                0.96914,                0.20532,                0.21127,                0.84608,               0.000218,               0.000218,               0.000218
                     93,                0.21931,                0.23583,                0.84975,                0.99328,                      1,                  0.995,                0.96773,                0.20577,                0.19116,                0.85295,              0.0001982,              0.0001982,              0.0001982
                     94,                0.21887,                0.21024,                0.86852,                0.99019,                      1,                  0.995,                0.96377,                0.21955,                0.20368,                0.85435,              0.0001784,              0.0001784,              0.0001784
                     95,                0.21252,                0.20066,                0.87971,                0.99077,                      1,                  0.995,                0.96121,                0.21832,                 0.2065,                0.85199,              0.0001586,              0.0001586,              0.0001586
                     96,                0.21054,                0.19735,                0.82945,                0.99037,                      1,                  0.995,                0.96245,                0.23215,                0.21906,                0.85632,              0.0001388,              0.0001388,              0.0001388
                     97,                0.20362,                0.20307,                0.84854,                0.98981,                      1,                  0.995,                0.96127,                0.22249,                0.20925,                 0.8483,               0.000119,               0.000119,               0.000119
                     98,                0.20983,                0.20131,                0.86827,                0.98704,                      1,                  0.995,                0.97334,                0.21695,                0.18942,                0.84218,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.19238,                0.18274,                0.83686,                0.97915,                      1,                  0.995,                 0.9743,                0.21524,                0.19838,                0.84042,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.19672,                0.19265,                0.84051,                0.97336,                      1,                  0.995,                0.97432,                0.21166,                0.20637,                0.83972,               5.96e-05,               5.96e-05,               5.96e-05
